productId,productName
5ed67c50cb07110fd03bcab0,Don't Cook
5ed67c50cb07110fd03bcab1,Deal 1
5ed67c50cb07110fd03bcab2,Deal 2
5ed67c50cb07110fd03bcab3,Deal 3
5ed67c50cb07110fd03bcab4,Deal 4
5ed67c50cb07110fd03bcab5,Deal 5
5ed67c50cb07110fd03bcab6,Real Big Deal 1
5ed67c50cb07110fd03bcab7,Real Big Deal 2
5ed67c50cb07110fd03bcab8,Real Big Deal 3
5ed67c50cb07110fd03bcab9,Real Big Deal 4
5ed67c50cb07110fd03bcaba,Cheese Garlic Bread
5ed67c50cb07110fd03bcabb,Chicken Nuggets
5ed67c50cb07110fd03bcabc,French Fries
5ed67c50cb07110fd03bcabd,Mozzarella Sticks
5ed67c50cb07110fd03bcabe,Tangy Wings
5ed67c50cb07110fd03bcabf,Max Platter
5ed67c50cb07110fd03bcac0,Potato Skins
5ed67c50cb07110fd03bcac1,Garlic Mushroom
5ed67c50cb07110fd03bcac2,Salad
5ed67c50cb07110fd03bcac3,Garlic Bread
5ed67c50cb07110fd03bcac4,Small Pizza
5ed67c50cb07110fd03bcac5,Regular Pizza
5ed67c50cb07110fd03bcac6,Large Pizza
5ed67c50cb07110fd03bcac7,Jumbo Pizza
5ed67c50cb07110fd03bcac8,Chicken Lasagna
5ed67c50cb07110fd03bcac9,Chicken Pasta
5ed67c50cb07110fd03bcaca,Spaghetti
5ed67c50cb07110fd03bcacb,Chicken Sandwich
5ed67c50cb07110fd03bcacc,Stick-o-Sandwich
5ed67c50cb07110fd03bcacd,Mineral Water
